nvar_id,svar_name,nchar1,nchar2,nchar3,nchar4,nchar5,nchar6,nchar7,nchar8,nchar9,nchar10,nchar11,nchar12,nchar13,nchar14,nchar15,nchar16,nchar17,nchar18,nchar19,nchar20,nchar21,nchar22,nchar23,nchar24,nchar25,nchar26,nchar27,nchar28,nchar29,nchar30,nchar31,nchar32,nchar33,nchar34,nchar35,nchar36,nchar37,nchar38,m9,m15,m18,m27,m29,m30,m31,m32,m33
585,Aniride,7,9,4,9,7,5,3,5,7,1,7,7,9,5,7,9,9,5,1,0,0,5,6,3,3,9,7,6,5,3,7,3,7,2,9,3,2,3,95,95,18.9,151,26.45,7.14,3.77,5.19,3.18
586,Nero Beppino,5,9,2,9,7,5,3,3,7,1,7,7,9,5,9,1,9,7,1,0,0,7,6,3,5,9,9,3,5,7,5,7,5,3,9,3,2,3,101,101.2,22.83,154,28.54,8.91,3.45,6.6,2.8
587,Ariosto CL,5,1,0,1,7,3,1,3,7,1,1,1,7,4,3,1,1,5,1,0,0,1,5,3,3,7,7,2,5,7,3,7,3,5,1,3,1,1,97,63.25,18.45,144,27.66,9.85,2.4,7.66,2.17
588,RTID3547,5,1,0,1,5,3,1,1,9,1,1,1,5,5,3,1,1,5,1,0,0,1,5,3,5,1,0,0,3,5,3,7,3,5,1,0,0,0,125,56,15,0,23.5,8.14,2.33,6.33,2.06
589,Verel,7,9,3,9,7,5,3,3,5,1,3,7,9,5,3,1,9,7,1,0,0,5,6,3,5,7,5,5,7,7,5,7,5,3,9,3,1,3,90,74.5,20.5,145,34.13,9.16,3.62,6.59,2.95
590,BVT01,3,1,0,1,7,3,1,1,5,1,1,1,1,1,3,1,1,5,1,0,0,3,1,2,5,7,7,2,5,3,5,3,5,2,1,3,1,1,90,70.7,17.8,150,0,0,0,0,0
591,Mirai,5,1,0,1,5,5,1,3,5,1,1,1,3,1,3,1,1,5,1,0,0,7,4,3,3,5,7,2,5,3,5,3,5,2,1,3,1,1,96,68,16,151,29.51,7.39,3.71,5.35,3.15
592,CL33,5,1,0,1,5,5,3,3,5,1,1,1,3,1,3,1,1,5,1,0,0,1,4,3,3,7,5,2,5,7,5,7,5,4,1,3,2,1,95,67,19,135,32.1,8.92,3.15,6.76,2.76
593,CL28,5,1,0,1,5,3,3,5,5,1,1,1,5,5,3,1,1,5,1,0,0,1,5,3,3,7,3,1,5,7,3,7,3,5,1,3,2,1,94,67,19,134,27.28,9.38,2.67,7.35,2.33
594,Felix,7,9,2,9,5,3,1,1,5,1,1,1,7,5,1,1,1,5,1,0,0,5,5,3,3,7,6,2,5,5,5,5,5,2,1,3,2,1,94,62,18,147,29.84,7.86,3.62,5.83,3.21
595,Anteo,5,1,0,1,7,5,3,3,5,1,1,1,1,1,3,1,1,5,1,0,0,7,1,3,3,7,6,2,7,7,7,7,7,3,1,3,1,1,96,71,20,151,45.82,9.57,4.08,7.25,3.48
596,Telemaco,5,1,0,1,7,5,3,3,5,1,1,1,1,1,3,1,1,5,1,0,0,7,1,3,3,7,6,2,7,7,7,7,7,3,1,3,1,1,96,70,19,148,46.84,9.55,4.12,7.24,3.49
597,Leonardo,5,1,0,1,5,5,1,3,5,1,1,1,1,1,3,1,1,5,9,3,3,1,1,3,3,9,5,2,5,7,5,7,5,3,1,3,1,1,93,59,19,136,29.58,8.3,3.27,6.21,2.87
598,Apache Red,5,1,0,1,5,5,3,5,5,1,1,1,9,5,3,1,1,5,9,3,3,5,5,3,3,7,6,2,5,7,5,7,5,4,6,3,2,1,96,77,18,151,31.78,9.34,3.17,7,2.72
600,RG201,5,1,0,1,5,5,3,3,5,1,1,1,1,1,3,1,1,3,1,0,0,1,1,2,3,7,5,2,5,7,5,7,5,4,1,3,1,1,88,72.45,14.13,146,28.23,9.1,2.97,6.87,2.63
601,RG202,5,1,0,1,5,5,3,3,7,1,1,1,7,4,3,1,1,5,9,1,1,1,5,2,3,5,7,2,7,7,5,7,7,3,1,3,1,1,98,62,19,146,38.78,9.15,3.52,6.81,3.11
