riferimento,tipologia,localizzazione proda,zona,lunghezza,larghezza,mq totali,mp totali,ultima coltivazione,orto 2022 primaverile,Sesto d'impianto,semina,trapianto,settimana ricevimento da vivaio,orto 2022 autunnale,giorno di semina,giorno di trapianto,semina,settimana di semina,settimana di trapianto,settimana ricevimento da vivaio
orto su,aperto,b10,casa,13,75,"9,75",13,cavolo,zucchina,,28-4,,,porri,,,,,,
orto su,aperto,b11,casa,13,100,13,13,cavolo,zucchina,,28-4,,,porri,,,,,,
orto su,aperto,b12,casa,8,75,6,8,cavolo,zucchina,,28-4,,,fagiolo,,,,,,
orto su,aperto,b13,casa,8,75,6,8,prezzemolo,peperone,,17-4,,,fagiolo,,,,,,
orto su,aperto,b14,casa,8,75,6,8,melanzana,fiori,,,,,,,,,,,
peschi,aperto,b15s,casa,10,75,"7,5",10,cavolo nero,melanzana,,17-4,,,pisello,,,,,,
peschi,coperto,b16s,casa,10,75,"7,5",10,cavolo riccio,peperoncino,,27-3,,,,,,,,,
peschi,coperto,b17s,casa,10,75,"7,5",10,cavolo riccio,pomodoro ciliegino,,23-3,,,,,,,,,
peschi,coperto,b18s,casa,10,75,"7,5",10,finocchio,pomodoro ciliegino,,23-3,,,,,,,,,
peschi,coperto,b19s,casa,10,75,"7,5",10,cavolo nero,peperoncino,,27-3,,,,,,,,,
