ID,Lato,Colonna,Fila,Posto,Varietà,Anno Produzione,Peso,Germinabilità,Ibrido,Note
548,S,500,2, 6 ,Yari,2018,600,,,17R/19
549,S,500,2, 7 ,RTM 24,2018,600,,,11P/19
550,S,500,2, 8 ,Andromeda CL,2018,600,,,32R/19
551,S,500,2, 9 ,Tesla,2018,600,,,35R/19 (Inew)
552,S,500,2, 10 ,Edison,2018,600,,,33R/19
553,S,500,2, 11 ,RTF13,2018,600,,,7P/19
554,S,500,2, 12 ,RTH17,2018,600,,,22R/19
555,S,500,2, 13 ,ECCO 985 FP,2018,600,,,24R/19
556,S,500,2, 14 ,Jolly nero,2018,600,,,57C/20
557,S,500,2, 15 ,CL122HP,2018,600,,,31R/20
558,S,500,2, 16 ,MZA2,2018,600,,,20R/20
559,S,500,3, 1 ,CL712GL,2018,600,,,34R/20
560,S,500,3, 2 ,MZA10,2018,600,,,10R/20
561,S,500,3, 3 ,IRES 1172,2018,600,,,46R/20
562,S,500,3, 4 ,MZA9,2018,600,,,9R/20
563,S,500,3, 5 ,MZA6,2018,600,,,19R/20
564,S,500,3, 6 ,4RI16/79,2018,600,,,52R/20
565,S,500,3, 7 ,MZA8,2018,600,,,8R/20
566,S,500,3, 8 ,CL712V,2018,600,,,38R/20
567,S,500,3, 9 ,MZA3,2018,600,,,3R/20
568,S,500,3, 10 ,PV234,2018,600,,,43R/20
569,S,500,3, 11 ,PV226,2018,600,,,42R/20
570,S,500,3, 12 ,MZA4,2018,600,,,14R/20
571,S,500,3, 13 ,VN25(24)BC8F17,2018,600,,,55R/20
572,S,500,3, 14 ,MZA7,2018,600,,,25R/20
573,S,500,3, 15 ,VN28(11)BC14F29F02,2018,600,,,56R/20
574,S,500,3, 16 ,MZ181,2018,600,,,29R/20
575,S,500,4, 1 ,PV 221-IT LQ,2018,600,,,40R/20
576,S,500,4, 2 ,IRES 1117,2018,600,,,45R/20
577,S,500,4, 3 ,RG 23913/1/2/2,2018,600,,,49R/20
578,S,500,4, 4 ,MZ105,2018,600,,,26R/20
579,S,500,4, 5 ,4RI16/97,2018,600,,,53R/20
580,S,500,4, 6 ,4RI16/29BIS,2018,600,,,51R/20
581,S,500,4, 7 ,LASJKK20,2018,600,,,44R/20
582,S,500,4, 8 ,011(22)BC19F28F05,2018,600,,,54R/20
583,S,500,4, 9 ,CL007,2018,600,,,30R/20
584,S,500,4, 10 ,4RI16/167,2018,600,,,50R/20
585,S,500,4, 11 ,Naomi,2018,600,,,48R/20
586,S,500,4, 12 ,Nerone 2,2018,600,,,18R/19
587,S,500,4, 13 ,RFH1612284,2018,600,,,6R/18
588,S,500,4, 14 ,BSIN19,2018,600,,,11R/19
589,S,500,4, 15 ,Castigliano,2018,600,,,16R/19
590,S,500,4, 16 ,RTF15,2018,600,,,10P/19
591,S,500,5, 1 ,G2215,2018,600,,,37R/19
592,S,500,5, 2 ,SYN-RI-20530,2018,600,,,20R/18
593,S,500,5, 3 ,RG 36313/1/6/2,2018,600,,,2R/19 (Inew)
594,S,500,5, 4 ,Ardente EG,2018,600,,,6C/19
595,S,500,5, 5 ,Misaki,2018,600,,,28R/19
596,S,500,5, 6 ,Sucro CL,2018,600,,,36R/19
597,S,500,5, 7 ,RTM 25,2018,600,,,9P/19
598,S,500,5, 8 ,RTH 33,2018,600,,,23R/19
599,S,500,5, 9 ,RFH1612282,2018,600,,,5R/18
600,S,500,5, 10 ,Verelè,2018,600,,,7r/18
601,S,500,5, 11 ,RTH33,2018,600,,,23R/19
602,S,500,5, 12 ,Narciso EG,2018,600,,,7C/19
603,S,500,5, 13 ,RTM23,2018,600,,,8P/19
604,S,500,5, 14 ,RTF15,2018,600,,,10P/19
605,S,500,5, 15 ,Gaia EG,2018,600,,,5C/19
606,S,500,5, 16 ,RTH27,2018,600,,,24R/19
607,S,500,6, 1 ,Diva PV,2020,600,,,10R/21
608,S,500,6, 2 ,Cerere,2020,600,,,1RE/21
609,S,500,6, 3 ,4RI16/29BIS,2020,600,,,51R/20
610,S,500,6, 4 ,MZ105,2020,600,,,26R/20
611,S,500,6, 5 ,Naomi,2020,600,,,48R/20
612,S,500,6, 6 ,SA2001,2020,600,,,23R/21
613,S,500,6, 7 ,CL131HP,2020,600,,,13R/21
614,S,500,6, 8 ,Chirone,2020,600,,,22R/21
615,S,500,6, 9 ,Felix 2,2020,600,,,1C/21
616,S,500,6, 10 ,MZA7,2020,600,,,25R/20
617,S,500,6, 11 ,Misaki,2020,600,,,28R/19
618,S,500,6, 12 ,4RI16/170,2020,600,,,32R/21
619,S,500,6, 13 ,CL122HP,2020,600,,,31R/20
620,S,500,6, 14 ,CL228HP,2020,600,,,12R/21
621,S,500,6, 15 ,SA2004,2020,600,,,27R/21
622,S,500,6, 16 ,PV 221 IT,2020,600,,,40R/20
623,S,500,7, 1 ,SA2002,2020,600,,,24R/21
624,S,500,7, 2 ,CL112,2020,600,,,5R/21
625,S,500,7, 3 ,CL225HP,2020,600,,,18R/21
626,S,500,7, 4 ,PV 03-IT,2020,600,,,39R/20
627,S,500,7, 5 ,CL145,2020,600,,,6R/21
628,S,500,7, 6 ,CL44,2020,600,,,3R/21
629,S,500,7, 7 ,Sirio CL,2020,600,,,2RE/21
630,S,500,7, 8 ,Araldo PV,2020,600,,,19R/21
631,S,500,7, 9 ,Zuanshi,2020,600,,,47R/20
632,S,500,7, 10 ,PV 23-IT,2020,600,,,41R/20
633,S,500,7, 11 ,EUSAKE01,2020,600,,,14R/21
634,S,500,7, 12 ,CL712V,2020,600,,,38R/20
635,S,500,7, 13 ,CL712GL,2020,600,,,34R/20
636,S,500,7, 14 ,Edison,2020,600,,,33R/19
637,S,500,7, 15 ,4RI16/79,2020,600,,,52R/20
638,S,500,7, 16 ,IRES 1117,2020,600,,,45R/20
639,S,500,8, 1 ,RTM 24,2018,,,,11P/19
640,S,500,8, 2 ,,,,,,
641,S,500,8, 3 ,Dario CL,2020,,,,27R/19
642,S,500,8, 4 ,Tommy,2020,,,,4R/21
643,S,500,8, 5 ,Circe,2020,,,,21R/21
644,S,500,8, 6 ,,,,,,
645,S,500,8, 7 ,,,,,,
646,S,500,8, 8 ,,,,,,
647,S,500,8, 9 ,,,,,,
648,S,500,8, 10 ,,,,,,
649,S,500,8, 11 ,,,,,,
650,S,500,8, 12 ,,,,,,
651,S,500,8, 13 ,,,,,,
652,S,500,8, 14 ,,,,,,
653,S,500,8, 15 ,,,,,,
654,S,500,8, 16 ,,,,,,
